Number of Open Accounts,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Annual Income,Months since last delinquent,Home Ownership,Term,Years in current job,Credit Default
11,26.3,685960,99999999,47386,7914,482087,30,0.092368046,-0.235664764,-0.68396445,0
11,35,1182434,99999999,308389,13651,751412,30,-0.193546938,-0.235664764,-0.68396445,0
13,13.6,385836,125840,93309,7180,776264,64,0.180264064,-0.235664764,-0.68396445,0
12,14.6,366784,337304,165680,18692,1169858.159,48,0.180264064,0.583192905,0.013849095,1
9,20.3,388124,99999999,51623,2317,1511108,73,-0.193546938,-0.235664764,0.126700744,0
13,12,330374,250888,89015,19761,1040060,18,0.180264064,-0.235664764,0.126700744,1
17,15.7,0,129734,19,17,1215361.812,48,-0.193546938,-0.235664764,-0.1128066,0
10,24.6,511302,572880,205333,17613,1533310.35,6,-0.193546938,0.583192905,0.126700744,1
12,17.6,839080,441100,402914,15528,1828560,26,-0.193546938,-0.235664764,0.013849095,0
8,14,443608,337766,315305,19446,933432,26,-0.193546938,-0.235664764,0.126700744,0
11,17.7,1602546,185262,1374327,58352,2258796,51,0.092368046,-0.235664764,0.013849095,0
9,18.4,296186,145134,41439,12939,848464,31,0.180264064,-0.235664764,0.126700744,0
6,17.8,899492,313038,538346,18844,1154627.486,31,0.180264064,0.583192905,0.013849095,1
9,29,387222,553586,201989,13434,1401744,40,-0.193546938,0.583192905,0.013849095,1
11,26.5,663894,585090,252852,8742,1651993,44,-0.193546938,0.583192905,0.126700744,0
7,34.4,401104,324852,183597,7786,1047394,45,-0.193546938,-0.235664764,0.013849095,1
6,28.3,288442,99999999,157700,5063,463790,30,0.180264064,-0.235664764,-0.68396445,0
17,14.8,700040,174878,168074,17132,1051788.977,17,0.092368046,-0.235664764,0.126700744,1
12,25,1216336,467676,818311,37530,1711535.347,61,0.092368046,-0.235664764,-0.68396445,0
3,29.8,1231912,108042,1036279,22225,1353142,23,0.180264064,-0.235664764,0.126700744,0
7,14.5,328394,99999999,195966,6041,1004055,30,0.180264064,-0.235664764,-0.68396445,0
12,19.5,533808,155782,262314,13807,711094,27,-0.193546938,-0.235664764,0.126700744,0
8,14,225016,99999999,147687,6128,612750,30,0.180264064,-0.235664764,0.013849095,0
11,20.5,845548,99999999,640433,26549,1289796,30,0.092368046,0.583192905,0.126700744,0
